,city,Incident_count,amount_awarded,Latitude,Longitude,per capita,per_capita_log,amount_awarded_log,Incident_count_log
0,Atlanta,65,4761181,33.7489924,-84.3902644,11.148768671307714,2.411329058741375,15.376006304677292,4.174387269895637
1,Baltimore,82,18432746,39.2908816,76.610759,80.34394110442284,4.386316683048138,16.72963931474902,4.406719247264253
2,Baton Rouge,30,2879789,30.4459596,-91.18738,4.661431355537139,1.5393225588148303,14.87322758553931,3.4011973816621555
3,Boston,51,11905481,42.3602534,-71.0582912,113.22594818731692,4.729385363770798,16.29250944027885,3.9318256327243257
4,Charleston,59,1520250,32.7876012,-79.9402728,12.63043767239374,2.5361095891581638,14.234385352982356,4.07753744390572
5,Chicago,1515,467586425,41.87556160000001,-87.6244212,173.45950590061332,5.155944176760459,19.963094755917506,7.323170717943469
6,Cincinnati,54,2472785,39.1014537,-84.5124602,8.325181382038549,2.1192848232614185,14.720855603783587,3.9889840465642745
7,Cleveland,142,28573463,41.5051613,-81.6934446,72.03427325324897,4.277142023161947,17.167988977922043,4.955827057601261
8,Columbia,27,1030935,34.000749299999995,-81.03433129999998,7.90467026015749,2.0674537569713793,13.84597671542483,3.295836866004329
9,Detroit,503,57702977,42.3315509,-83.04664029999998,80.82805806992036,4.392324158589161,17.870819324601452,6.220590170099739
10,Fort Lauderdale,54,2371381,26.1223084,-80.14337859999998,14.30664720006757,2.6607242684271695,14.678983043829286,3.9889840465642745
11,Indianapolis,236,13148274,39.7683331,-86.1583502,16.025550394475278,2.774184348206021,16.391801053220536,5.4638318050256105
12,Los Angeles,997,329925622,34.0536909,-118.242766,1704.707199619713,7.441148644541938,19.614377799142346,6.904750769961838
13,Memphis,254,8772851,35.1490215,-90.0516285,2.312829558842953,0.8384716921826703,15.987172397038332,5.537334267018537
14,Miami,87,7284683,25.7741728,-80.19362,11.175004947282677,2.413679583209394,15.80128448259467,4.465908118654584
15,Milwaukee,56,40017821,43.0349931,-87.92249699999998,100.1745314545623,4.606913979242114,17.504835437861416,4.02535169073515
16,New Orleans,27,2885642,29.949932300000004,-90.0701156,4.853913722165592,1.5797853325616833,14.875257963497425,3.295836866004329
17,New York City,32632,1704120285,40.712728,40.712728,4956.316783391696,8.5084181598733,21.256314852650927,10.393048680997394
18,North Charleston,108,3333750,32.9131295,-80.0629981965219,0.40779661875288303,-0.8969867123109699,15.019608354478361,4.68213122712422
19,Orlando,24,734377,28.5421109,-81.3790304,7.525994322548909,2.01836293779266,13.506777799715207,3.1780538303479458
20,Paterson,56,5350399,40.9167654,-74.171811,22.402091811954644,3.1091543389631977,15.492681695530534,4.02535169073515
21,Philadelphia,1423,116839465,39.9527237,-75.16352619999998,799.2794891264938,6.683710683257425,18.576311456562,7.260522598089852
22,Richmond,6,201000,37.53850870000001,-77.43428,0.13171587117270375,-2.027108167450345,12.211060187041213,1.791759469228055
23,Roanoke,2,132500,37.270973,-79.94143129999998,0.6483180428134556,-0.433373896225241,11.794337924408413,0.6931471805599453
24,San Francisco,87,27873297,37.7790262,-122.419906,287.6204519657414,5.661641735855864,17.14317969170783,4.465908118654584
25,Springfield,40,32846089,42.1018764,-72.5886727,40.7932708548605,3.7085171377797344,17.30734323949054,3.6888794541139363
26,St. Louis,14,3117846,38.626418,-90.199838,20.36051902933417,3.0135976839573013,14.952652936745078,2.6390573296152584
27,Washington,370,114829407,38.8949924,-77.0365581,359.64110570674217,5.885106605593945,18.55895816758333,5.91350300563827
28,Waterbury,15,2227250,41.5538091,-73.0438362,3.7011833483723766,1.3086525924018484,14.61627819858289,2.70805020110221
