,city,amount_awarded,Estimates Base,per_capita,Latitude,Longitude,per_capita_log,amount_awarded_log,Incident_count,Incident_count_log
0,Atlanta,4761182.0,427059,11.148768671307714,33.7489924,-84.3902644,2.411329058741375,15.376006514709193,65,4.174387269895637
1,Baltimore,18432748.0,229423,80.34394110442284,39.2908816,76.610759,4.386316683048138,16.729639423251566,82,4.406719247264253
2,Baton Rouge,2879795.0,617792,4.661431355537139,30.4459596,-91.18738,1.5393225588148303,14.873229669023116,30,3.4011973816621555
3,Boston,11905482.0,105148,113.22594818731692,42.3602534,-71.0582912,4.729385363770798,16.292509524273772,51,3.9318256327243257
4,Charleston,1520250.0,120364,12.63043767239374,32.7876012,-79.9402728,2.5361095891581638,14.234385352982356,59,4.07753744390572
5,Chicago,467586464.0,2695652,173.45950590061332,41.87556160000001,-87.6244212,5.155944176760459,19.963094839324544,1515,7.323170717943469
6,Cincinnati,2472787.0,297025,8.325181382038549,39.1014537,-84.5124602,2.1192848232614185,14.720856412587906,54,3.9889840465642745
7,Cleveland,28573475.0,396665,72.03427325324897,41.5051613,-81.6934446,4.277142023161947,17.16798939789205,142,4.955827057601261
8,Columbia,1030935.0,130421,7.90467026015749,34.000749299999995,-81.03433129999998,2.0674537569713793,13.84597671542483,27,3.295836866004329
9,Detroit,57702989.0,713898,80.82805806992036,42.3315509,-83.04664029999998,4.392324158589161,17.870819532562972,503,6.220590170099739
10,Fort Lauderdale,2371384.0,165754,14.30664720006757,26.1223084,-80.14337859999998,2.6607242684271695,14.678984308914103,54,3.9889840465642745
11,Indianapolis,13148275.0,820457,16.025550394475278,39.7683331,-86.1583502,2.774184348206021,16.391801129276143,236,5.4638318050256105
12,Los Angeles,329925622.0,3793139,86.97957601870114,34.0536909,-118.242766,4.465673332688782,19.614377799142346,997,6.904750769961838
13,Memphis,8772884.0,651873,13.457964971704609,35.1490215,-90.0516285,2.5995711219766346,15.987176158636236,254,5.537334267018537
14,Miami,7284684.0,399481,18.235370393085027,25.7741728,-80.19362,2.903363136260826,15.801284619868994,87,4.465908118654584
15,Milwaukee,40017822.0,594498,67.31363604250981,43.0349931,-87.92249699999998,4.20936283191454,17.50483546285028,56,4.02535169073515
16,New Orleans,2885642.0,343828,8.392690531312168,29.949932300000004,-90.0701156,2.127361152183572,14.875257963497425,27,3.295836866004329
17,New York City,1704120487.0,8175031,208.45431497446307,40.712728,40.712728,5.339719904397821,21.25631497118715,32632,10.393048680997394
18,North Charleston,3333750.0,97579,34.164625585423096,32.9131295,-80.0629981965219,3.531190769162684,15.019608354478361,108,4.68213122712422
19,Orlando,734379.0,238836,3.074825403205547,28.5421109,-81.3790304,1.1232481202011169,13.506780523108338,24,3.1780538303479458
20,Paterson,5350426.0,146181,36.601377744029655,40.9167654,-74.171811,3.6000858829783287,15.492686741870418,56,4.02535169073515
21,Philadelphia,116839475.0,1526012,76.56523998500667,39.9527237,-75.16352619999998,4.338143187657957,18.576311542149515,1423,7.260522598089852
22,Richmond,201000.0,204375,0.98348623853211,37.53850870000001,-77.43428,-0.016651633592442143,12.211060187041213,6,1.791759469228055
23,Roanoke,132500.0,96910,1.367247962026623,37.270973,-79.94143129999998,0.3127999326798184,11.794337924408413,2,0.6931471805599453
24,San Francisco,27873298.0,805184,34.617302380573875,37.7790262,-122.419906,3.544353625873656,17.14317972758446,87,4.465908118654584
25,Springfield,32846089.0,153132,214.49526552255568,42.1018764,-72.5886727,5.368287665968561,17.30734323949054,40,3.6888794541139363
26,St. Louis,3117847.0,319289,9.764968414195293,38.626418,-90.199838,2.278801329729995,14.952653257479279,14,2.6390573296152584
27,Washington,114829449.0,601767,190.8204487783477,38.8949924,-77.0365581,5.251332927162186,18.55895853334323,370,5.91350300563827
28,Waterbury,2227250.0,110309,20.19100889320001,41.5538091,-73.0438362,3.005237401021808,14.61627819858289,15,2.70805020110221
