,city,amount_awarded,Estimates Base,per_capita
0,Atlanta,4761182.0,427059,11.148768671307712
1,Baltimore,18432748.0,229423,80.34394110442284
2,Baton Rouge,2879795.0,617792,4.661431355537139
3,Boston,11905482.0,105148,113.22594818731693
4,Charleston,1520250.0,120364,12.63043767239374
5,Chicago,467586464.0,2695652,173.4595059006133
6,Cincinnati,2472787.0,297025,8.325181382038549
7,Cleveland,28573475.0,396665,72.03427325324897
8,Columbia,1030935.0,130421,7.90467026015749
9,Detroit,57702989.0,713898,80.82805806992036
10,Fort Lauderdale,2371384.0,165754,14.30664720006757
11,Indianapolis,13148275.0,820457,16.025550394475275
12,Los Angeles,329925622.0,3793139,86.97957601870114
13,Memphis,8772884.0,651873,13.45796497170461
14,Miami,7284684.0,399481,18.235370393085027
15,Milwaukee,40017822.0,594498,67.31363604250981
16,New Orleans,2885642.0,343828,8.392690531312168
17,New York City,1704120487.0,8175031,208.4543149744631
18,North Charleston,3333750.0,97579,34.164625585423096
19,Orlando,734379.0,238836,3.074825403205547
20,Paterson,5350426.0,146181,36.60137774402966
21,Philadelphia,116839475.0,1526012,76.56523998500667
22,Richmond,201000.0,204375,0.9834862385321101
23,Roanoke,132500.0,96910,1.3672479620266227
24,San Francisco,27873298.0,805184,34.61730238057388
25,Springfield,32846089.0,153132,214.4952655225557
26,St. Louis,3117847.0,319289,9.764968414195291
27,Washington,114829449.0,601767,190.82044877834775
28,Waterbury,2227250.0,110309,20.19100889320001
