calendar_year,city,state,closed_date,amount_awarded
2019.0,Baton Rouge,LA,2019-07-08,45640.5
2019.0,Baton Rouge,LA,2019-08-14,30445.62
2019.0,Baton Rouge,LA,2019-02-27,52504.0
2018.0,Baton Rouge,LA,2018-12-11,20000.0
2018.0,Baton Rouge,LA,2018-07-16,107795.3
2018.0,Baton Rouge,LA,2018-10-18,9900.0
2017.0,Baton Rouge,LA,2017-10-02,25000.0
2017.0,Baton Rouge,LA,2017-01-18,50000.0
2017.0,Baton Rouge,LA,2017-03-10,9229.89
2017.0,Baton Rouge,LA,2017-10-25,32569.0
2015.0,Baton Rouge,LA,,22434.08
2015.0,Baton Rouge,LA,,350000.0
2014.0,Baton Rouge,LA,,425324.0
2014.0,Baton Rouge,LA,,35400.0
2014.0,Baton Rouge,LA,,50000.0
2014.0,Baton Rouge,LA,,40000.0
2014.0,Baton Rouge,LA,,30562.6
2013.0,Baton Rouge,LA,,81113.28
2013.0,Baton Rouge,LA,,15350.0
2013.0,Baton Rouge,LA,,30000.0
2012.0,Baton Rouge,LA,,15097.1
2012.0,Baton Rouge,LA,,60187.6
2011.0,Baton Rouge,LA,,12500.0
2011.0,Baton Rouge,LA,,303212.14
2011.0,Baton Rouge,LA,,119389.11
2010.0,Baton Rouge,LA,,331784.39
2010.0,Baton Rouge,LA,,106574.58
2016.0,Baton Rouge,LA,2016-04-13,42000.0
2016.0,Baton Rouge,LA,2016-06-30,51412.43
2016.0,Baton Rouge,LA,2016-09-28,374369.16
2010.0,San Francisco,CA,2010-01-22,25000.0
2010.0,San Francisco,CA,2010-03-02,40000.0
2010.0,San Francisco,CA,2010-05-03,135000.0
2010.0,San Francisco,CA,2010-06-21,35000.0
2010.0,San Francisco,CA,2010-08-17,48500.0
2010.0,San Francisco,CA,2010-08-17,350.0
2011.0,San Francisco,CA,2011-01-13,16000.0
2011.0,San Francisco,CA,2011-03-17,50000.0
2011.0,San Francisco,CA,2011-03-17,10000.0
