calendar_year,city,state,closed_date,amount_awarded
2010.0,Philadelphia,PA,2010-01-11,3871.0
2010.0,Philadelphia,PA,2010-01-12,45000.0
2010.0,Philadelphia,PA,2010-01-21,25000.0
2010.0,Philadelphia,PA,2010-01-26,750.0
2010.0,Philadelphia,PA,2010-01-27,12500.0
2010.0,Philadelphia,PA,2010-01-28,30000.0
2010.0,Philadelphia,PA,2010-02-01,1500.0
2010.0,Philadelphia,PA,2010-02-03,275000.0
2010.0,Philadelphia,PA,2010-02-08,20000.0
2010.0,Philadelphia,PA,2010-02-11,25000.0
2010.0,Philadelphia,PA,2010-02-25,17500.0
2010.0,Philadelphia,PA,2010-03-08,40000.0
2010.0,Philadelphia,PA,2010-03-10,7500.0
2010.0,Philadelphia,PA,2010-03-10,1125.0
2010.0,Philadelphia,PA,2010-03-10,16500.0
2010.0,Philadelphia,PA,2010-03-15,35000.0
2010.0,Philadelphia,PA,2010-03-16,17700.0
2010.0,Philadelphia,PA,2010-03-22,102000.0
2010.0,Philadelphia,PA,2010-03-22,35000.0
2010.0,Philadelphia,PA,2010-03-23,20000.0
2010.0,Philadelphia,PA,2010-03-24,10000.0
2010.0,Philadelphia,PA,2010-03-26,2000.0
2010.0,Philadelphia,PA,2010-04-01,33500.0
2010.0,Philadelphia,PA,2010-04-05,65000.0
2010.0,Philadelphia,PA,2010-04-05,25000.0
2010.0,Philadelphia,PA,2010-04-06,7500.0
2010.0,Philadelphia,PA,2010-04-06,32500.0
2010.0,Philadelphia,PA,2010-04-08,1100000.0
2010.0,Philadelphia,PA,2010-04-09,50000.0
2010.0,Philadelphia,PA,2010-04-09,40000.0
2010.0,Philadelphia,PA,2010-04-20,4000.0
2010.0,Philadelphia,PA,2010-04-21,12000.0
2010.0,Philadelphia,PA,2010-04-22,12500.0
2010.0,Philadelphia,PA,2010-04-22,575000.0
2010.0,Philadelphia,PA,2010-04-22,75000.0
2010.0,Philadelphia,PA,2010-04-27,62500.0
2010.0,Philadelphia,PA,2010-04-27,7500.0
2010.0,Philadelphia,PA,2010-04-27,7500.0
2010.0,Philadelphia,PA,2010-04-27,287500.0
2010.0,Philadelphia,PA,2010-04-29,35000.0
2010.0,Philadelphia,PA,2010-05-17,15000.0
2010.0,Philadelphia,PA,2010-05-17,75000.0
2010.0,Philadelphia,PA,2010-05-17,25000.0
2010.0,Philadelphia,PA,2010-05-18,11000.0
2010.0,Philadelphia,PA,2010-05-20,20000.0
2010.0,Philadelphia,PA,2010-05-21,62000.0
2010.0,Philadelphia,PA,2010-05-24,90000.0
2010.0,Philadelphia,PA,2010-05-24,18000.0
2010.0,Philadelphia,PA,2010-05-24,70000.0
2010.0,Philadelphia,PA,2010-05-26,30000.0
2010.0,Philadelphia,PA,2010-05-27,23000.0
2010.0,Philadelphia,PA,2010-06-14,3000.0
2010.0,Philadelphia,PA,2010-06-18,45000.0
2010.0,Philadelphia,PA,2010-06-18,12500.0
2010.0,Philadelphia,PA,2010-06-22,9000.0
2010.0,Philadelphia,PA,2010-06-23,65000.0
2010.0,Philadelphia,PA,2010-06-24,65000.0
2010.0,Philadelphia,PA,2010-06-24,58000.0
2010.0,Philadelphia,PA,2010-06-28,190000.0
2010.0,Philadelphia,PA,2010-06-28,1000.0
2010.0,Philadelphia,PA,2010-06-29,50000.0
2010.0,Philadelphia,PA,2010-07-07,75000.0
2010.0,Philadelphia,PA,2010-07-13,75000.0
2010.0,Philadelphia,PA,2010-07-14,65000.0
2010.0,Philadelphia,PA,2010-07-14,5000.0
2010.0,Philadelphia,PA,2010-07-16,75000.0
2010.0,Philadelphia,PA,2010-07-22,30000.0
2010.0,Philadelphia,PA,2010-07-29,50000.0
2010.0,Philadelphia,PA,2010-08-03,27000.0
2010.0,Philadelphia,PA,2010-08-04,300000.0
2010.0,Philadelphia,PA,2010-08-04,30000.0
2010.0,Philadelphia,PA,2010-08-12,40000.0
2010.0,Philadelphia,PA,2010-08-12,4130.0
2010.0,Philadelphia,PA,2010-08-12,35000.0
2010.0,Philadelphia,PA,2010-08-16,45000.0
2010.0,Philadelphia,PA,2010-08-17,37500.0
2010.0,Philadelphia,PA,2010-08-17,20000.0
2010.0,Philadelphia,PA,2010-08-18,320000.0
2010.0,Philadelphia,PA,2010-08-25,125000.0
2010.0,Philadelphia,PA,2010-08-31,200000.0
2010.0,Philadelphia,PA,2010-08-31,150000.0
2010.0,Philadelphia,PA,2010-09-10,5000.0
2010.0,Philadelphia,PA,2010-09-10,25000.0
2010.0,Philadelphia,PA,2010-09-14,15000.0
2010.0,Philadelphia,PA,2010-09-21,25000.0
2010.0,Philadelphia,PA,2010-09-23,35000.0
2010.0,Philadelphia,PA,2010-09-26,10000.0
2010.0,Philadelphia,PA,2010-10-05,35000.0
2010.0,Philadelphia,PA,2010-10-06,17500.0
2010.0,Philadelphia,PA,2010-10-12,10000.0
2010.0,Philadelphia,PA,2010-10-12,8500.0
2010.0,Philadelphia,PA,2010-10-14,15000.0
2010.0,Philadelphia,PA,2010-10-15,3000.0
2010.0,Philadelphia,PA,2010-10-15,500000.0
2010.0,Philadelphia,PA,2010-10-22,10000.0
2010.0,Philadelphia,PA,2010-10-25,7000.0
2010.0,Philadelphia,PA,2010-10-27,15000.0
2010.0,Philadelphia,PA,2010-10-27,15000.0
2010.0,Philadelphia,PA,2010-10-28,30000.0
2010.0,Philadelphia,PA,2010-11-12,20000.0
2010.0,Philadelphia,PA,2010-11-15,30000.0
2010.0,Philadelphia,PA,2010-11-17,20000.0
2010.0,Philadelphia,PA,2010-11-24,10000.0
2010.0,Philadelphia,PA,2010-11-29,75000.0
2010.0,Philadelphia,PA,2010-12-01,19500.0
2010.0,Philadelphia,PA,2010-12-02,3000.0
2010.0,Philadelphia,PA,2010-12-07,5000.0
2010.0,Philadelphia,PA,2010-12-09,30000.0
2010.0,Philadelphia,PA,2010-12-09,30000.0
2010.0,Philadelphia,PA,2010-12-10,25000.0
2010.0,Philadelphia,PA,2010-12-10,250000.0
2010.0,Philadelphia,PA,2010-12-10,85000.0
2010.0,Philadelphia,PA,2010-12-15,100000.0
2010.0,Philadelphia,PA,2010-12-15,300000.0
2010.0,Philadelphia,PA,2010-12-15,15000.0
2010.0,Philadelphia,PA,2010-12-15,15000.0
2010.0,Philadelphia,PA,2010-12-22,10000.0
2010.0,Philadelphia,PA,2010-12-23,22500.0
2010.0,Philadelphia,PA,2010-12-28,44000.0
2010.0,Philadelphia,PA,2010-12-29,90000.0
2010.0,Philadelphia,PA,2010-12-31,10000.0
2010.0,Philadelphia,PA,2010-12-31,5000.0
2010.0,Philadelphia,PA,2010-12-31,7500.0
2010.0,Philadelphia,PA,2010-12-31,16000.0
2010.0,Philadelphia,PA,2010-12-31,5000.0
2011.0,Philadelphia,PA,2011-01-06,15000.0
2011.0,Philadelphia,PA,2011-01-07,55000.0
2011.0,Philadelphia,PA,2011-01-07,9000.0
2011.0,Philadelphia,PA,2011-01-10,7500.0
2011.0,Philadelphia,PA,2011-01-31,42000.0
2011.0,Philadelphia,PA,2011-02-01,9000.0
2011.0,Philadelphia,PA,2011-02-04,22500.0
2011.0,Philadelphia,PA,2011-02-07,55000.0
2011.0,Philadelphia,PA,2011-02-11,500000.0
2011.0,Philadelphia,PA,2011-02-16,59000.0
2011.0,Philadelphia,PA,2011-02-23,27500.0
2011.0,Philadelphia,PA,2011-03-03,330550.26
2011.0,Philadelphia,PA,2011-03-03,10078.0
2011.0,Philadelphia,PA,2011-03-11,6000.0
2011.0,Philadelphia,PA,2011-03-17,38250.0
2011.0,Philadelphia,PA,2011-03-18,4500.0
2011.0,Philadelphia,PA,2011-03-23,4100.0
2011.0,Philadelphia,PA,2011-03-25,9500.0
2011.0,Philadelphia,PA,2011-03-25,10000.0
2011.0,Philadelphia,PA,2011-03-27,100000.0
2011.0,Philadelphia,PA,2011-03-30,100000.0
2011.0,Philadelphia,PA,2011-03-30,15000.0
2011.0,Philadelphia,PA,2011-04-04,7500.0
2011.0,Philadelphia,PA,2011-04-04,95000.0
2011.0,Philadelphia,PA,2011-04-04,14000.0
2011.0,Philadelphia,PA,2011-04-14,9000.0
2011.0,Philadelphia,PA,2011-04-14,60000.0
2011.0,Philadelphia,PA,2011-04-15,10000.0
2011.0,Philadelphia,PA,2011-04-15,1000.0
2011.0,Philadelphia,PA,2011-04-18,110000.0
2011.0,Philadelphia,PA,2011-04-18,285000.0
2011.0,Philadelphia,PA,2011-04-20,2500.0
2011.0,Philadelphia,PA,2011-04-23,99999.99
2011.0,Philadelphia,PA,2011-04-26,99000.0
