id,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,city_name
1,8175133,8175031,8190209,8272948.0,8346693.0,8396091.0,8433806.0,8463049.0,8469153.0,8437478.0,8390081.0,8336817.0,"New York City, New York"
2,3792621,3793139,3795512,3820876.0,3851202.0,3881622.0,3909901.0,3938568.0,3963226.0,3975788.0,3977596.0,3979576.0,"Los Angeles, California"
3,2695598,2695652,2697477,2708114.0,2719141.0,2725731.0,2727066.0,2724344.0,2716723.0,2711069.0,2701423.0,2693976.0,"Chicago, Illinois"
6,1526006,1526012,1528283,1540466.0,1551824.0,1558313.0,1565460.0,1571065.0,1576051.0,1580601.0,1583592.0,1584064.0,"Philadelphia, Pennsylvania"
16,805235,805184,805505,815650.0,828876.0,839572.0,850750.0,863010.0,871512.0,878040.0,880696.0,881549.0,"San Francisco, California"
17,820445,820457,821579,827664.0,835499.0,844696.0,850164.0,853714.0,859049.0,863478.0,870960.0,876384.0,"Indianapolis (balance), Indiana"
20,601723,601767,605226,619800.0,634924.0,650581.0,662328.0,675400.0,685815.0,694906.0,701547.0,705749.0,"Washington, District of Columbia"
21,617594,617792,621048,630505.0,642955.0,653002.0,662855.0,670491.0,679848.0,687788.0,691147.0,692600.0,"Boston, Massachusetts"
24,713777,713898,711131,705118.0,700183.0,691868.0,682609.0,679410.0,677143.0,674631.0,672977.0,670031.0,"Detroit, Michigan"
28,646889,651873,652326,655341.0,658786.0,657146.0,654990.0,654106.0,652548.0,650878.0,651104.0,651073.0,"Memphis, Tennessee"
31,594833,594498,594865,597086.0,598569.0,599916.0,600664.0,600477.0,596996.0,593725.0,591375.0,590157.0,"Milwaukee, Wisconsin"
37,420003,427059,429410,437812.0,449016.0,453990.0,461154.0,468303.0,479174.0,491670.0,498183.0,506811.0,"Atlanta, Georgia"
50,343829,343828,347772,360735.0,369787.0,378637.0,383940.0,389742.0,391843.0,391493.0,391004.0,390144.0,"New Orleans, Louisiana"
53,396815,396665,395926,392667.0,391550.0,391792.0,390871.0,389244.0,387662.0,385252.0,383214.0,381009.0,"Cleveland, Ohio"
64,296943,297025,296980,296187.0,296900.0,297905.0,298626.0,299439.0,299748.0,301587.0,302277.0,303940.0,"Cincinnati, Ohio"
65,319294,319289,319336,319344.0,319416.0,318476.0,317399.0,316010.0,312633.0,308233.0,303419.0,300576.0,"St. Louis, Missouri"
71,238300,238836,239326,243620.0,249935.0,255135.0,262469.0,270786.0,278512.0,281804.0,285903.0,287442.0,"Orlando, Florida"
97,204214,204375,204302,206391.0,210794.0,213860.0,217044.0,220856.0,225369.0,227230.0,229221.0,230436.0,"Richmond, Virginia"
100,229493,229423,229374,228643.0,228889.0,228346.0,227851.0,227202.0,226686.0,224414.0,222190.0,220236.0,"Baton Rouge, Louisiana"
126,193524,193538,193972,195292.0,196564.0,197143.0,197595.0,198178.0,198631.0,198314.0,197484.0,197312.0,"Little Rock, Arkansas"
142,165521,165754,166126,169012.0,170909.0,172275.0,175153.0,177356.0,178837.0,179877.0,182101.0,182437.0,"Fort Lauderdale, Florida"
181,146199,146181,146391,145593.0,146111.0,146049.0,145911.0,145928.0,145773.0,146015.0,145594.0,145233.0,"Paterson, New Jersey"
200,120083,120364,120700,123012.0,125223.0,127246.0,129434.0,132413.0,134453.0,135626.0,136111.0,137566.0,"Charleston, South Carolina"
211,129272,130421,130774,131302.0,131761.0,131527.0,131781.0,133616.0,134129.0,134005.0,132770.0,131674.0,"Columbia, South Carolina"
238,105162,105148,105008,105884.0,107886.0,112036.0,112993.0,113471.0,115685.0,116869.0,118151.0,118927.0,"Cambridge, Massachusetts"
252,97471,97579,97949,99898.0,101994.0,104050.0,106754.0,108597.0,109738.0,110820.0,113077.0,115382.0,"North Charleston, South Carolina"
285,110366,110309,110350,110074.0,110019.0,109733.0,109524.0,108993.0,108453.0,108277.0,108123.0,107568.0,"Waterbury, Connecticut"
